ÆÀ¸í,¿¬µµ,´©ÀûÀÌµ¿°Å¸®,½Â·ü
»ï¼º,2015,11577,0.611
»ï¼º,2016,10240,0.451
»ï¼º,2017,10267,0.382
»ï¼º,2018,11303,0.472
»ï¼º,2019,10623,0.417
»ï¼º,2020,9346,0.444
»ï¼º,2021,9546,0.528
»ï¼º,2022,9427,0.458
»ï¼º,2023,11232,0.424
»ï¼º,2024,8701,0.542
KIA,2015,13057,0.465
KIA,2016,12045,0.486
KIA,2017,10462,0.604
KIA,2018,11722,0.486
KIA,2019,10742,0.431
KIA,2020,10675,0.507
KIA,2021,9739,0.403
KIA,2022,10222,0.486
KIA,2023,10084,0.507
KIA,2024,9291,0.604
KT,2015,10224,0.361
KT,2016,8499,0.368
KT,2017,8260,0.347
KT,2018,9274,0.41
KT,2019,9731,0.493
KT,2020,9221,0.562
KT,2021,9454,0.528
KT,2022,9289,0.556
KT,2023,7416,0.549
KT,2024,8267,0.5
LG,2015,9997,0.444
LG,2016,10323,0.493
LG,2017,10220,0.479
LG,2018,8018,0.472
LG,2019,10111,0.549
LG,2020,9911,0.549
LG,2021,8769,0.5
LG,2022,10300,0.604
LG,2023,10224,0.597
LG,2024,9208,0.528
NC,2015,12047,0.583
NC,2016,11759,0.576
NC,2017,10555,0.549
NC,2018,11313,0.403
NC,2019,11037,0.507
NC,2020,9790,0.576
NC,2021,11058,0.465
NC,2022,10474,0.465
NC,2023,10277,0.521
NC,2024,11138,0.424
SSG,2015,9268,0.479
SSG,2016,8731,0.479
SSG,2017,9314,0.521
SSG,2018,9599,0.542
SSG,2019,9577,0.611
SSG,2020,9265,0.354
SSG,2021,9667,0.458
SSG,2022,9364,0.611
SSG,2023,8512,0.528
SSG,2024,10179,0.5
µÎ»ê,2015,10379,0.549
µÎ»ê,2016,9514,0.646
µÎ»ê,2017,10313,0.583
µÎ»ê,2018,9125,0.646
µÎ»ê,2019,8952,0.611
µÎ»ê,2020,10253,0.549
µÎ»ê,2021,9886,0.493
µÎ»ê,2022,9809,0.417
µÎ»ê,2023,9132,0.514
µÎ»ê,2024,8667,0.514
·Ôµ¥,2015,13215,0.458
·Ôµ¥,2016,11238,0.458
·Ôµ¥,2017,12692,0.556
·Ôµ¥,2018,11508,0.472
·Ôµ¥,2019,11065,0.333
·Ôµ¥,2020,10082,0.493
·Ôµ¥,2021,10046,0.451
·Ôµ¥,2022,9981,0.444
·Ôµ¥,2023,10732,0.472
·Ôµ¥,2024,11107,0.458
ÇÑÈ­,2015,9950,0.472
ÇÑÈ­,2016,9745,0.458
ÇÑÈ­,2017,9469,0.424
ÇÑÈ­,2018,10140,0.535
ÇÑÈ­,2019,10232,0.403
ÇÑÈ­,2020,8849,0.319
ÇÑÈ­,2021,8384,0.34
ÇÑÈ­,2022,9181,0.319
ÇÑÈ­,2023,9465,0.403
ÇÑÈ­,2024,8722,0.458
Å°¿ò,2015,9967,0.542
Å°¿ò,2016,9335,0.535
Å°¿ò,2017,9108,0.479
Å°¿ò,2018,9130,0.521
Å°¿ò,2019,9679,0.597
Å°¿ò,2020,7404,0.556
Å°¿ò,2021,9112,0.486
Å°¿ò,2022,9966,0.556
Å°¿ò,2023,9539,0.403
Å°¿ò,2024,9937,0.403
